episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
19000,173.89,-0.34,-1.0,-1,1,2
19100,173.94,-0.3,-1.0,-1,1,2
19200,174.12,-0.18,-1.0,-1,1,2
19300,174.13,-0.2,-1.0,-1,1,2
19400,174.22,-0.16,-1.0,-1,1,2
19500,174.24,-0.26,-1.0,-1,1,1
19600,174.29,-0.16,-1.0,-1,1,2
19700,174.4,-0.44,-1.0,-1,1,2
19800,174.56,-0.4,-1.0,-1,1,1
19900,174.74,-0.22,-1.0,-1,1,1
20000,174.87,-0.36,-1.0,-1,1,1
20100,174.9,-0.4,-1.0,-1,1,1
20200,174.89,-0.24,-1.0,-1,1,1
20300,175.0,-0.28,-1.0,-1,1,1
20400,175.13,-0.3,-1.0,-1,1,1
20500,175.17,-0.46,-1.0,-1,1,1
20600,175.17,-0.26,-1.0,-1,1,4
20700,175.22,-0.24,-1.0,-1,1,1
20800,175.19,-0.1,-1.0,-1,1,1
20900,175.17,-0.1,-1.0,-1,1,1
21000,175.21,-0.24,-1.0,-1,1,1
21100,175.25,-0.3,-1.0,-1,1,1
21200,175.25,-0.16,-1.0,-1,1,1
21300,175.39,-0.26,-1.0,-1,1,1
21400,175.39,-0.3,-1.0,-1,1,1
21500,175.49,-0.26,-1.0,-1,1,1
21600,175.6,-0.2,-1.0,-1,1,1
21700,175.62,-0.18,-1.0,-1,1,1
21800,175.66,-0.18,-1.0,-1,1,1
21900,175.68,-0.22,-1.0,-1,1,1
22000,175.74,-0.32,-1.0,-1,1,1
22100,175.74,-0.28,-1.0,-1,1,1
22200,175.8,-0.28,-1.0,-1,1,1
22300,175.87,-0.2,-1.0,-1,1,1
22400,176.03,-0.28,-1.0,-1,1,1
22500,176.18,-0.32,-1.0,-1,1,1
22600,176.25,-0.06,-1.0,-1,1,1
22700,176.42,-0.24,-1.0,-1,1,4
22800,176.5,-0.06,-1.0,-1,1,1
22900,176.55,0.0,0.0,-1,1,1
23000,176.53,-0.18,-1.0,-1,1,1
23100,176.54,-0.1,-1.0,-1,1,1
23200,176.59,-0.3,-1.0,-1,1,1
23300,176.8,-0.32,-1.0,-1,1,1
23400,176.94,-0.38,-1.0,-1,1,1
23500,176.99,-0.16,-1.0,-1,1,1
23600,176.99,-0.36,-1.0,-1,1,1
23700,177.08,-0.26,-1.0,-1,1,1
23800,177.19,-0.3,-1.0,-1,1,1
23900,177.19,-0.32,-1.0,-1,1,1
24000,177.24,-0.4,-1.0,-1,1,1
24100,177.3,-0.32,-1.0,-1,1,1
24200,177.34,-0.32,-1.0,-1,1,1
24300,177.42,-0.34,-1.0,-1,1,1
24400,177.48,-0.22,-1.0,-1,1,1
24500,177.52,-0.3,-1.0,-1,1,1
24600,177.53,-0.2,-1.0,-1,1,1
24700,177.55,-0.22,-1.0,-1,1,1
24800,177.51,-0.24,-1.0,-1,1,1
24900,177.55,-0.22,-1.0,-1,1,1
25000,177.72,-0.26,-1.0,-1,1,1
25100,177.78,-0.26,-1.0,-1,1,1
25200,177.77,-0.2,-1.0,-1,1,1
