Timestep,Mean Timestep,Mean,Median,Min Reward,Max Reward
358000,155.77,-0.248,-1,-1,1
359000,155.86,-0.268,-1,-1,1
360000,155.92,-0.2,-1,-1,1
361000,155.97,-0.202,-1,-1,1
362000,156.03,-0.284,-1,-1,1
363000,156.11,-0.252,-1,-1,1
364000,156.17,-0.3,-1,-1,1
365000,156.22,-0.266,-1,-1,1
366000,156.27,-0.298,-1,-1,1
367000,156.31,-0.328,-1,-1,1
368000,156.37,-0.236,-1,-1,1
369000,156.4,-0.276,-1,-1,1
370000,156.47,-0.3,-1,-1,1
371000,156.55,-0.242,-1,-1,1
372000,156.62,-0.22,-1,-1,1
373000,156.66,-0.324,-1,-1,1
374000,156.71,-0.33,-1,-1,1
375000,156.73,-0.392,-1,-1,1
376000,156.77,-0.3,-1,-1,1
377000,156.8,-0.324,-1,-1,1
378000,156.84,-0.204,-1,-1,1
379000,156.89,-0.19,-1,-1,1
380000,156.93,-0.304,-1,-1,1
381000,156.95,-0.266,-1,-1,1
382000,157,-0.286,-1,-1,1
383000,157.03,-0.196,-1,-1,1
384000,157.09,-0.226,-1,-1,1
385000,157.16,-0.196,-1,-1,1
386000,157.24,-0.194,-1,-1,1
387000,157.32,-0.152,-1,-1,1
388000,157.38,-0.184,-1,-1,1
389000,157.44,-0.22,-1,-1,1
390000,157.49,-0.218,-1,-1,1
391000,157.54,-0.272,-1,-1,1
392000,157.58,-0.256,-1,-1,1
393000,157.63,-0.278,-1,-1,1
394000,157.68,-0.256,-1,-1,1
395000,157.7,-0.196,-1,-1,1
396000,157.75,-0.248,-1,-1,1
397000,157.8,-0.224,-1,-1,1
398000,157.86,-0.244,-1,-1,1
399000,157.93,-0.226,-1,-1,1
400000,157.98,-0.274,-1,-1,1
401000,158.04,-0.196,-1,-1,1
402000,158.1,-0.258,-1,-1,1
403000,158.15,-0.192,-1,-1,1
404000,158.22,-0.276,-1,-1,1
405000,158.27,-0.256,-1,-1,1
406000,158.32,-0.196,-1,-1,1
407000,158.38,-0.212,-1,-1,1
408000,158.45,-0.188,-1,-1,1
409000,158.51,-0.256,-1,-1,1
410000,158.55,-0.186,-1,-1,1
411000,158.6,-0.228,-1,-1,1
412000,158.65,-0.208,-1,-1,1
413000,158.7,-0.154,-1,-1,1
414000,158.75,-0.138,-1,-1,1
415000,158.81,-0.206,-1,-1,1
416000,158.86,-0.206,-1,-1,1
417000,158.9,-0.192,-1,-1,1
418000,158.94,-0.238,-1,-1,1
419000,159,-0.158,-1,-1,1
420000,159.03,-0.142,-1,-1,1
421000,159.09,-0.13,-1,-1,1
422000,159.16,-0.12,-1,-1,1
423000,159.23,-0.078,-1,-1,1
424000,159.3,-0.128,-1,-1,1
425000,159.37,-0.204,-1,-1,1
426000,159.42,-0.16,-1,-1,1
427000,159.48,-0.156,-1,-1,1
428000,159.51,-0.186,-1,-1,1
429000,159.56,-0.14,-1,-1,1
430000,159.6,-0.18,-1,-1,1
431000,159.64,-0.16,-1,-1,1
432000,159.69,-0.118,-1,-1,1
433000,159.74,-0.164,-1,-1,1
434000,159.8,-0.134,-1,-1,1
435000,159.86,-0.2,-1,-1,1
436000,159.9,-0.164,-1,-1,1
437000,159.95,-0.118,-1,-1,1
438000,160.02,-0.144,-1,-1,1
439000,160.07,-0.236,-1,-1,1
440000,160.1,-0.224,-1,-1,1
441000,160.14,-0.218,-1,-1,1
442000,160.18,-0.234,-1,-1,1
443000,160.21,-0.182,-1,-1,1
444000,160.26,-0.294,-1,-1,1
445000,160.31,-0.2,-1,-1,1
446000,160.34,-0.242,-1,-1,1
447000,160.38,-0.22,-1,-1,1
448000,160.41,-0.27,-1,-1,1
449000,160.44,-0.166,-1,-1,1
450000,160.48,-0.118,-1,-1,1
451000,160.53,-0.176,-1,-1,1
452000,160.57,-0.192,-1,-1,1
453000,160.63,-0.15,-1,-1,1
454000,160.68,-0.116,-1,-1,1
455000,160.74,-0.148,-1,-1,1
456000,160.8,-0.102,-1,-1,1
457000,160.83,-0.17,-1,-1,1
458000,160.88,-0.154,-1,-1,1
459000,160.92,-0.206,-1,-1,1
460000,160.97,-0.122,-1,-1,1
461000,161.03,-0.162,-1,-1,1
462000,161.08,-0.186,-1,-1,1
463000,161.13,-0.164,-1,-1,1
464000,161.18,-0.118,-1,-1,1
465000,161.22,-0.156,-1,-1,1
466000,161.26,-0.112,-1,-1,1
467000,161.32,-0.15,-1,-1,1
468000,161.37,-0.124,-1,-1,1
469000,161.41,-0.236,-1,-1,1
470000,161.46,-0.184,-1,-1,1
471000,161.52,-0.078,-1,-1,1
472000,161.57,-0.084,-1,-1,1
473000,161.62,-0.076,-1,-1,1
474000,161.67,-0.17,-1,-1,1
475000,161.73,-0.216,-1,-1,1
476000,161.78,-0.082,-1,-1,1
477000,161.83,-0.112,-1,-1,1
478000,161.89,-0.114,-1,-1,1
479000,161.94,-0.13,-1,-1,1
480000,161.99,-0.122,-1,-1,1
481000,162.04,-0.148,-1,-1,1
482000,162.09,-0.248,-1,-1,1
483000,162.14,-0.122,-1,-1,1
484000,162.2,-0.176,-1,-1,1
485000,162.24,-0.202,-1,-1,1
486000,162.27,-0.244,-1,-1,1
487000,162.31,-0.118,-1,-1,1
488000,162.35,-0.13,-1,-1,1
489000,162.39,-0.188,-1,-1,1
490000,162.43,-0.276,-1,-1,1
491000,162.43,-0.366,-1,-1,1
492000,162.46,-0.276,-1,-1,1
493000,162.5,-0.218,-1,-1,1
494000,162.53,-0.254,-1,-1,1
495000,162.56,-0.234,-1,-1,1
496000,162.59,-0.198,-1,-1,1
497000,162.65,-0.114,-1,-1,1
498000,162.7,-0.162,-1,-1,1
499000,162.74,-0.066,-1,-1,1
500000,162.77,-0.198,-1,-1,1
501000,162.81,-0.104,-1,-1,1
502000,162.84,-0.068,-1,-1,1
503000,162.88,-0.18,-1,-1,1
504000,162.92,-0.198,-1,-1,1
505000,162.96,-0.136,-1,-1,1
506000,162.99,-0.084,-1,-1,1
507000,163.03,-0.066,-1,-1,1
508000,163.07,-0.1,-1,-1,1
509000,163.1,-0.106,-1,-1,1
510000,163.14,-0.09,-1,-1,1
511000,163.18,-0.06,-1,-1,1
512000,163.23,-0.068,-1,-1,1
513000,163.29,-0.088,-1,-1,1
514000,163.33,-0.2,-1,-1,1
515000,163.38,-0.144,-1,-1,1
516000,163.42,-0.074,-1,-1,1
517000,163.46,-0.226,-1,-1,1
518000,163.51,-0.138,-1,-1,1
519000,163.56,-0.082,-1,-1,1
520000,163.61,-0.168,-1,-1,1
521000,163.64,-0.188,-1,-1,1
522000,163.69,-0.13,-1,-1,1
523000,163.75,-0.106,-1,-1,1
524000,163.79,-0.128,-1,-1,1
525000,163.84,-0.18,-1,-1,1
526000,163.87,-0.216,-1,-1,1
527000,163.91,-0.14,-1,-1,1
528000,163.95,-0.082,-1,-1,1
529000,164,-0.082,-1,-1,1
530000,164.05,-0.128,-1,-1,1
531000,164.1,-0.04,-1,-1,1
532000,164.16,-0.092,-1,-1,1
533000,164.2,-0.132,-1,-1,1
534000,164.24,-0.052,-1,-1,1
535000,164.27,-0.056,-1,-1,1
536000,164.3,-0.084,-1,-1,1
537000,164.35,-0.088,-1,-1,1
538000,164.4,-0.112,-1,-1,1
539000,164.44,-0.16,-1,-1,1
540000,164.48,-0.068,-1,-1,1
541000,164.51,-0.13,-1,-1,1
542000,164.55,-0.148,-1,-1,1
543000,164.6,-0.152,-1,-1,1
544000,164.65,-0.17,-1,-1,1
545000,164.7,-0.088,-1,-1,1
546000,164.75,-0.204,-1,-1,1
547000,164.78,-0.104,-1,-1,1
548000,164.83,-0.116,-1,-1,1
549000,164.88,-0.014,-1,-1,1
550000,164.91,-0.086,-1,-1,1
551000,164.94,-0.104,-1,-1,1
552000,164.98,-0.16,-1,-1,1
553000,165.01,-0.24,-1,-1,1
554000,165.05,-0.184,-1,-1,1
555000,165.1,-0.196,-1,-1,1
556000,165.15,-0.186,-1,-1,1
557000,165.2,-0.142,-1,-1,1
558000,165.24,-0.062,-1,-1,1
559000,165.28,-0.136,-1,-1,1
560000,165.33,-0.154,-1,-1,1
561000,165.37,-0.116,-1,-1,1
562000,165.42,-0.144,-1,-1,1
563000,165.47,-0.098,-1,-1,1
564000,165.51,-0.072,-1,-1,1
