episodes,mean timesteps,mean reward,median reward,min reward,max reward,mc action
214370,254.3,-0.2,-1.0,-1,1,"[7823297, 4676806, 11696074, 3145085, 11516194, 15706]"
214380,194.0,-0.6,-1.0,-1,1,"[7823357, 4676829, 11697373, 3145174, 11516663, 15706]"
214390,213.0,-0.2,-1.0,-1,1,"[7823469, 4676853, 11698647, 3145324, 11517232, 15707]"
214400,219.5,-0.2,-1.0,-1,1,"[7823590, 4676886, 11699884, 3145522, 11517838, 15707]"
214410,173.1,-0.4,-1.0,-1,1,"[7823716, 4676916, 11700838, 3145654, 11518327, 15707]"
214420,183.3,-0.2,-1.0,-1,1,"[7823816, 4676952, 11701884, 3145787, 11518845, 15707]"
214430,263.9,-0.8,-1.0,-1,1,"[7824022, 4676996, 11703290, 3145985, 11519630, 15707]"
214440,160.7,-0.4,-1.0,-1,1,"[7824153, 4677031, 11704145, 3146131, 11520070, 15707]"
214450,205.8,0.4,1.0,-1,1,"[7824274, 4677087, 11705305, 3146322, 11520600, 15707]"
214460,218.9,-0.2,-1.0,-1,1,"[7824421, 4677157, 11706592, 3146481, 11521126, 15707]"
214470,172.1,-0.6,-1.0,-1,1,"[7824515, 4677215, 11707679, 3146581, 11521508, 15707]"
214480,218.2,-0.2,-1.0,-1,1,"[7824638, 4677286, 11709087, 3146731, 11521938, 15707]"
214490,213.7,-0.6,-1.0,-1,1,"[7824777, 4677378, 11710430, 3146905, 11522327, 15707]"
214500,264.7,-0.4,-1.0,-1,1,"[7825073, 4677445, 11711745, 3147522, 11522679, 15707]"
214510,221.5,-0.4,-1.0,-1,1,"[7825388, 4677503, 11712845, 3148032, 11522911, 15707]"
214520,153.5,-0.4,-1.0,-1,1,"[7825612, 4677564, 11713614, 3148328, 11523096, 15707]"
214530,168.2,0.4,1.0,-1,1,"[7825883, 4677638, 11714510, 3148611, 11523254, 15707]"
214540,180.2,-0.4,-1.0,-1,1,"[7826216, 4677710, 11715408, 3148893, 11523471, 15707]"
214550,235.4,-0.2,-1.0,-1,1,"[7826649, 4677825, 11716569, 3149257, 11523752, 15707]"
214560,139.0,-0.4,-1.0,-1,1,"[7826927, 4677896, 11717222, 3149466, 11523931, 15707]"
214570,221.1,-0.2,-1.0,-1,1,"[7827522, 4678031, 11718123, 3149705, 11524272, 15707]"
214580,243.3,-0.6,-1.0,-1,1,"[7828098, 4678202, 11719122, 3149944, 11524720, 15707]"
214590,130.6,0.0,0.0,-1,1,"[7828404, 4678365, 11719532, 3150047, 11525044, 15707]"
214600,214.1,0.0,0.0,-1,1,"[7828920, 4678632, 11720065, 3150231, 11525685, 15707]"
214610,183.1,0.0,0.0,-1,1,"[7829348, 4678890, 11720438, 3150412, 11526276, 15707]"
214620,178.6,-0.4,-1.0,-1,1,"[7829871, 4679119, 11720736, 3150587, 11526837, 15707]"
214630,160.3,0.0,0.0,-1,1,"[7830302, 4679300, 11720941, 3150812, 11527398, 15707]"
214640,165.4,0.0,0.0,-1,1,"[7830846, 4679484, 11721129, 3150974, 11527974, 15707]"
214650,191.9,-0.4,-1.0,-1,1,"[7831495, 4679694, 11721336, 3151246, 11528555, 15707]"
214660,226.9,-0.4,-1.0,-1,1,"[7832328, 4680029, 11721605, 3151498, 11529135, 15707]"
214670,244.2,-0.2,-1.0,-1,1,"[7833120, 4680333, 11721892, 3151810, 11529882, 15707]"
214680,174.3,0.0,0.0,-1,1,"[7833544, 4680581, 11722166, 3152050, 11530439, 15707]"
214690,129.0,-0.8,-1.0,-1,1,"[7833846, 4680774, 11722346, 3152203, 11530901, 15707]"
214700,180.0,-0.4,-1.0,-1,1,"[7834237, 4680991, 11722590, 3152471, 11531581, 15707]"
214710,202.3,-0.2,-1.0,-1,1,"[7834614, 4681225, 11722845, 3152740, 11532469, 15707]"
214720,149.8,-0.6,-1.0,-1,1,"[7834847, 4681388, 11723034, 3152916, 11533206, 15707]"
214730,188.6,0.2,1.0,-1,1,"[7835078, 4681553, 11723264, 3153115, 11534266, 15708]"
214740,153.4,0.2,1.0,-1,1,"[7835294, 4681677, 11723432, 3153261, 11535146, 15708]"
214750,161.1,0.0,0.0,-1,1,"[7835507, 4681797, 11723574, 3153394, 11536149, 15708]"
214760,137.8,-0.2,-1.0,-1,1,"[7835672, 4681869, 11723704, 3153465, 11537089, 15708]"
214770,176.1,-0.2,-1.0,-1,1,"[7835932, 4681954, 11723927, 3153547, 11538200, 15708]"
214780,211.1,0.0,0.0,-1,1,"[7836187, 4682058, 11724155, 3153650, 11539621, 15708]"
214790,199.5,-0.4,-1.0,-1,1,"[7836476, 4682184, 11724367, 3153744, 11540895, 15708]"
214800,193.7,0.0,0.0,-1,1,"[7836822, 4682304, 11724569, 3153836, 11542072, 15708]"
214810,180.7,0.0,0.0,-1,1,"[7837133, 4682397, 11724733, 3153908, 11543239, 15708]"
214820,209.7,-0.2,-1.0,-1,1,"[7837466, 4682529, 11724939, 3154001, 11544572, 15708]"
214830,214.2,0.0,0.0,-1,1,"[7837847, 4682651, 11725194, 3154077, 11545880, 15708]"
214840,145.8,-0.2,-1.0,-1,1,"[7838103, 4682720, 11725417, 3154145, 11546722, 15708]"
214850,123.4,-0.2,-1.0,-1,1,"[7838369, 4682790, 11725624, 3154204, 11547354, 15708]"
214860,180.2,0.4,1.0,-1,1,"[7838742, 4682917, 11725921, 3154279, 11548284, 15708]"
214870,184.9,-0.2,-1.0,-1,1,"[7839074, 4683009, 11726205, 3154383, 11549321, 15708]"
214880,168.0,-0.4,-1.0,-1,1,"[7839395, 4683128, 11726498, 3154466, 11550185, 15708]"
214890,193.7,0.2,1.0,-1,1,"[7839811, 4683269, 11726818, 3154560, 11551151, 15708]"
214900,165.4,-0.4,-1.0,-1,1,"[7840158, 4683385, 11727106, 3154622, 11551992, 15708]"
214910,168.7,-0.4,-1.0,-1,1,"[7840498, 4683494, 11727520, 3154682, 11552756, 15708]"
214920,223.8,-0.2,-1.0,-1,1,"[7841044, 4683566, 11728178, 3154758, 11553642, 15708]"
214930,177.6,-0.2,-1.0,-1,1,"[7841418, 4683652, 11728699, 3154813, 11554382, 15708]"
214940,166.0,-0.6,-1.0,-1,1,"[7841794, 4683740, 11729232, 3154868, 11554990, 15708]"
214950,197.5,-0.4,-1.0,-1,1,"[7842266, 4683888, 11729755, 3154921, 11555769, 15708]"
214960,175.4,-0.4,-1.0,-1,1,"[7842622, 4684030, 11730229, 3154981, 11556491, 15708]"
