episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
24920, 21.1, -1.0, -1.0, -1, -1, 0.1691542288557214, 0.14676616915422885, 0.17661691542288557, 0.22139303482587064, 0.1417910447761194, 0.14427860696517414
24940, 47.3, -1.0, -1.0, -1, -1, 0.15373961218836565, 0.1731301939058172, 0.19390581717451524, 0.1883656509695291, 0.18005540166204986, 0.11080332409972299
24960, 31.4, -1.0, -1.0, -1, -1, 0.17304189435336975, 0.2040072859744991, 0.18579234972677597, 0.19489981785063754, 0.14571948998178508, 0.0965391621129326
24980, 27.1, -1.0, -1.0, -1, -1, 0.15520628683693516, 0.15717092337917485, 0.22593320235756384, 0.14931237721021612, 0.17681728880157171, 0.13555992141453832
25000, 17.6, -1.0, -1.0, -1, -1, 0.12631578947368421, 0.18736842105263157, 0.19789473684210526, 0.1726315789473684, 0.1726315789473684, 0.1431578947368421
25020, 18.3, -1.0, -1.0, -1, -1, 0.15114235500878734, 0.19332161687170474, 0.1827768014059754, 0.20738137082601055, 0.16695957820738136, 0.0984182776801406
25040, 28.6, -1.0, -1.0, -1, -1, 0.1390625, 0.1734375, 0.1921875, 0.18125, 0.184375, 0.1296875
25060, 21.9, -1.0, -1.0, -1, -1, 0.15368421052631578, 0.15789473684210525, 0.21473684210526317, 0.15157894736842106, 0.18736842105263157, 0.13473684210526315
25080, 25.8, -1.0, -1.0, -1, -1, 0.1596330275229358, 0.14862385321100918, 0.2, 0.2018348623853211, 0.15229357798165138, 0.13761467889908258
25100, 22.5, -1.0, -1.0, -1, -1, 0.15894039735099338, 0.15011037527593818, 0.18763796909492272, 0.16997792494481237, 0.18543046357615894, 0.1479028697571744
25120, 37.6, -1.0, -1.0, -1, -1, 0.15126050420168066, 0.18907563025210083, 0.18067226890756302, 0.18627450980392157, 0.18207282913165265, 0.11064425770308123
25140, 22.3, -1.0, -1.0, -1, -1, 0.17463235294117646, 0.15257352941176472, 0.19117647058823528, 0.1875, 0.1801470588235294, 0.11397058823529412
