episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
14620, 161.0, 0.0, 0.0, -1, 1, 0.43306010928961747, 0.08715846994535519, 0.31775956284153006, 0.013934426229508197, 0.14808743169398908, 0.0
14640, 240.1, -0.8, -1.0, -1, 1, 0.4022421524663677, 0.0890134529147982, 0.34417040358744394, 0.013004484304932735, 0.1515695067264574, 0.0
14660, 185.8, -0.4, -1.0, -1, 1, 0.4053231939163498, 0.08491761723700887, 0.3596958174904943, 0.014448669201520912, 0.13561470215462612, 0.0
14680, 220.0, -0.4, -1.0, -1, 1, 0.3761085028690663, 0.09441836202399582, 0.38158581116327595, 0.014606155451225874, 0.1332811684924361, 0.0
14700, 137.3, -0.4, -1.0, -1, 1, 0.4033026357573833, 0.09844395046046364, 0.3543982216576691, 0.012702445220704985, 0.13115274690377898, 0.0
14720, 214.1, -0.6, -1.0, -1, 1, 0.4193705781898024, 0.08929007074896317, 0.34666991949255915, 0.01122224932910466, 0.13344718223957064, 0.0
14740, 120.2, 0.2, 1.0, -1, 1, 0.42897033158813264, 0.07958115183246073, 0.3336823734729494, 0.009075043630017453, 0.1486910994764398, 0.0
14760, 185.6, -0.4, -1.0, -1, 1, 0.4101404427517258, 0.09307307783860985, 0.33230183289692933, 0.01118781242561295, 0.1532968340871221, 0.0
14780, 233.5, -0.2, -1.0, -1, 1, 0.42150635208711434, 0.08121597096188747, 0.33734119782214156, 0.012023593466424683, 0.14791288566243194, 0.0
14800, 239.9, -0.8, -1.0, -1, 1, 0.41316025067144135, 0.07788719785138765, 0.36011638316920325, 0.010966875559534467, 0.1378692927484333, 0.0
14820, 209.1, 0.0, 0.0, -1, 1, 0.4109723242713691, 0.09061964241978937, 0.3423952975753123, 0.011021307861866276, 0.144991427871663, 0.0
14840, 249.7, -0.2, -1.0, -1, 1, 0.4235972940708317, 0.09769200159172305, 0.3169518503780342, 0.011142061281337047, 0.150616792678074, 0.0
14860, 154.3, 0.2, 1.0, -1, 1, 0.41732283464566927, 0.09204452891664404, 0.3353244637523758, 0.01004615802335053, 0.14526201466196037, 0.0
14880, 131.4, 0.2, 1.0, -1, 1, 0.42886110172355524, 0.09834403514700912, 0.327475498479216, 0.01013856032443393, 0.13518080432578575, 0.0
14900, 226.9, -0.4, -1.0, -1, 1, 0.4447463768115942, 0.08673007246376811, 0.33061594202898553, 0.012454710144927536, 0.12545289855072464, 0.0
14920, 166.1, -0.2, -1.0, -1, 1, 0.45879867189858137, 0.08391186236039844, 0.3157259281617869, 0.012073649260488983, 0.12948988831874433, 0.0
14940, 235.2, -0.6, -1.0, -1, 1, 0.4781456953642384, 0.08543046357615894, 0.2913907284768212, 0.015231788079470199, 0.12980132450331125, 0.0
14960, 188.5, 0.4, 1.0, -1, 1, 0.49555375909458366, 0.08164915117219078, 0.29964969011048237, 0.01266504985179197, 0.11048234977095123, 0.0
14980, 180.6, 0.2, 1.0, -1, 1, 0.5110787172011662, 0.08338192419825073, 0.26588921282798833, 0.013994169096209912, 0.12565597667638484, 0.0
15000, 182.5, -0.4, -1.0, -1, 1, 0.5294718040316407, 0.09313600408267415, 0.24751212043888748, 0.013268690992600153, 0.1166113804541975, 0.0
15020, 282.7, -0.4, -1.0, -1, 1, 0.5644196250498604, 0.09752692461108894, 0.2225767850019944, 0.011368169126445952, 0.10410849621061029, 0.0
15040, 268.0, 0.2, 1.0, -1, 1, 0.5804025658040256, 0.09710241097102411, 0.20725503207255033, 0.011059500110595002, 0.1041804910418049, 0.0
